firm_id,year,revenue,expenses,employees,rd_spend,debt,profit_margin
1,2021,398384.75,363986.4,478,39586.21,181884.28,0.104
2,2018,318218.33,339983.7,282,50851.58,311905.3,0.1
3,2019,446418.21,267513.05,370,116012.42,239264.36,0.16
4,2021,602767.86,404339.68,127,60293.17,179316.38,0.153
5,2017,525691.25,202704.3,93,48592.67,248786.81,0.114
6,2022,350511.35,355434.2,58,96099.58,176632.64,0.159
7,2019,520781.71,353379.11,416,115571.12,282118.72,0.123
8,2019,546238.09,272140.82,178,101568.6,225874.95,0.136
9,2021,393937.11,329351.97,90,109881.43,192488.85,0.234
10,2016,518447.01,187399.78,466,57296.15,231340.18,0.217
11,2017,506985.05,383162.43,331,37345.68,90038.67,0.085
12,2021,362843.56,283358.81,260,125040.01,121126.28,0.191
13,2017,542934.48,252954.93,445,70319.6,116425.25,0.191
14,2017,567294.14,394410.83,464,72475.01,210006.02,0.093
15,2022,629966.15,236609.07,317,119845.82,321276.05,0.191
16,2019,626456.25,173238.48,459,96686.9,356191.01,0.227
17,2018,334679.68,159903.37,55,93676.63,244663.58,0.094
18,2022,387461.0,354540.9,103,144950.07,235059.11,0.104
19,2022,561804.23,184761.36,471,60694.45,73925.96,0.201
20,2017,561654.31,457931.48,393,107835.2,162012.83,0.164
21,2020,561805.72,112626.35,282,81710.39,144855.14,0.178
22,2019,962327.78,452681.07,329,88057.77,156540.67,0.167
23,2016,568506.86,318991.57,404,125854.05,188229.93,0.17
24,2022,636267.88,291295.82,191,95235.07,166953.66,0.084
25,2018,614480.21,250957.28,395,96148.88,61449.01,0.202
26,2020,578166.95,335922.25,192,112175.22,252353.72,0.208
27,2020,462167.69,296612.88,381,69051.42,124907.99,0.139
28,2016,591076.31,399297.17,66,54823.71,216747.28,0.148
29,2022,407260.97,310280.49,398,48655.72,345185.79,0.073
30,2018,471581.77,313527.16,160,21009.3,135643.08,0.176
31,2019,441756.37,267274.9,394,141686.21,22879.87,0.179
32,2015,509824.9,294874.89,425,46903.75,179979.7,0.147
33,2018,777759.03,327702.16,137,73362.39,277067.17,0.206
34,2016,275928.18,146084.84,296,71695.6,337084.32,0.133
35,2020,582351.22,178663.31,233,89222.2,113931.53,0.178
36,2019,306474.1,366893.77,239,104472.12,234768.95,0.099
37,2018,443368.18,315377.89,412,105814.2,167428.27,0.149
38,2015,630674.07,283441.5,45,62507.68,192583.62,0.141
39,2015,507713.6,301659.05,28,74986.35,385104.03,0.161
40,2017,370670.63,331282.35,290,88477.4,94792.08,0.132
41,2017,414163.55,251421.63,29,72539.27,217761.78,0.143
42,2021,581551.73,229952.57,491,128220.37,232738.52,0.191
43,2016,412356.0,317626.07,397,94729.25,276005.04,0.128
44,2022,525975.03,211946.45,140,102046.33,206858.82,0.07
45,2018,505468.62,336742.75,144,99886.44,221563.54,0.237
46,2018,421807.96,146767.48,189,115204.22,172584.6,0.219
47,2022,757273.29,392624.01,91,85430.65,218838.89,0.085
48,2021,576070.28,342533.77,171,41095.04,175976.54,0.184
